group_id	C1	C2	C3	C4	C5
PG01383	0.0743169651259697	-0.00405281728773378	-0.00602816049240384	0.211700136653215	-0.259231464630765
PG01066b	0.0443676591103346	-0.0232622018052458	0.0675832700061017	-0.0089181931908537	-0.0527525844153584
PGSHARED0009	-0.0401521007258876	0.00783121923765157	0.189030337692455	0.023243322311106	0.00412916184046304
PG01422	-0.000206177514209055	-0.00559122652279193	0.0724793915835	0.180310710249826	0.12342401887505
PG00706	-0.0639708113484443	-0.0269087280973365	-0.121672295889165	-0.0118625762378281	0.0268263655571195
PG01430	0.0521851612638271	0.156841806859302	-0.00289242468022373	-0.101565415019563	0.0866791355765634
PG00479	-0.000278863902974036	0.00358248902210631	-0.0202267472693821	-0.0728491790496835	0.094716920269182
PG01286b	-0.0345290221767319	-0.0170300725070414	-0.105335056714469	-0.178577170909531	-0.129296732671761
PG01784	0.0390683995116609	0.0363945266357374	0.0533168127154909	0.00251653659830397	-0.107506991709916
PG01433	-0.0242224730885959	-0.0358243819912231	0.129651313982327	0.00966574137540876	-0.0383884513615146
PG01428	-0.0806307703672337	0.0667539806798985	-0.0728892810157859	0.0754969584574586	0.0997666318534236
PG01349	0.0372476539668124	0.00929670729591507	0.0277683891729611	-0.0845927463328931	0.0846983929808548
PG00033	-0.0352389334636388	-0.00295269682058884	-0.0490971318242906	0.078555179249812	-0.0518621988839244
PG00103	-0.0335014542756037	-0.00706928949293483	-0.146496224963864	-0.0150466128591167	-0.0177805086776506
PG00759b	0.0052737579639194	0.0218432203589218	0.0543514680958296	0.0322560789895482	0.0591332067147678
PG01192	-0.00411445676371434	-0.0301847946948997	0.0441711676620142	0.0145200610349187	-0.123070560488577
PG00474	-0.0292867504305342	0.0664465799992485	0.056168262766967	0.03553348289024	-0.0452112941366423
PG00496	-0.0401524058588291	-0.00942665057726457	-0.122608614148035	-0.00658880163209819	0.0124350055706686
PG00452	0.0829724124235521	0.0559666321652163	0.00756555044020274	-0.0570840321614869	0.0731994903438016
PG00843	-0.0860860465979123	0.0785385809126127	-5.36532017987489e-05	-0.0115916665554661	-0.0134057918288283
PG00264	-0.0351830581972846	-0.0613550561506742	-0.0578156446038915	-0.0253293317904299	0.0264529453303184
PG00951	-0.0845826473580045	-0.045432180771824	0.0334964711885272	-0.00249799045914707	-0.00315840530953118
PG00666	-0.0906842319010088	0.0500843188020642	-0.0380506076847741	0.0101633995914651	0.0062731218462006
PG00835	0.0945781819658592	0.00384437822164076	0.0097987475156769	-0.0145277806827356	0.0407736637799587
PG01675	-0.0885950295775739	0.0601939283395701	0.0184861603428876	-0.0152491557691636	-0.00235332597062615
PG01523	0.0173739408621421	0.0320182398868808	-0.0598941018182797	-0.0131966647485029	0.0595141408312889
PG00070	-0.088571362802889	0.037376528314098	0.00211896538128503	-0.00849084539507975	-0.000396367915781317
PG00833	0.0740255091496953	-0.0841821947986663	0.00765432942101276	-0.0400610491291727	0.0195433849789512
PG01795	-0.0764582294608433	0.0762184494134596	-0.0205916025407883	0.0180641724561529	-0.0263377314395998
PG00980	0.0880229177416183	-0.0150523507282815	0.00293055753507777	0.0183631121509055	0.00944757745367209
PG00964	0.0636390512799524	-0.0928204360532228	-0.0535329738102521	-0.047850889866587	-0.022925877603644
PG00494	0.0853166469215065	-0.0388132276647071	-0.00450436240274442	-0.0330308507840151	0.0367504629512155
PG00703	-0.0816462589523309	0.0644926773486835	0.0031099081770362	0.000967014449002064	0.00497132277403482
PG01016	0.0819865117697763	-0.0443138609510112	-0.0191211279561232	0.0288324104764831	-0.0371068138890266
PG00618	0.083623272416775	-0.0314970208550193	0.010725187138408	-0.0111727460188339	-0.0124899122978208
PG01076	0.0824875117565044	-0.0433494820172521	0.0222660938628903	0.00742626532450179	-0.00454215688011883
PG00238	-0.00463499061715072	-0.0595288819946766	0.0124733746107163	0.0655957290440171	-0.035090839302855
PG01541	-0.0758099655094607	0.0700315641224614	0.000847491153029412	-0.0323366224055855	-0.0106677629116845
PG00518	0.00773036846060637	-0.0306706559544611	-0.0533767571905282	0.0362639413939642	0.0113337516005153
PG00366	0.0113572452283863	0.0499823323629937	-0.0564016940825724	-0.0428354646523116	-0.00381579944537548
PG01459	0.0872781660455748	-0.00647248599973479	0.00925521412048025	-0.00209994730947425	0.0106530515571318
PG00072	-0.0397407290843111	0.0233569482619254	0.00171295417520654	-0.0508056013124004	0.0157438148174942
PG01052	-0.0812135940809166	0.034671608890048	-0.0101038387551993	-0.0522870697819624	0.0392223957186292
PG01420	0.0770186375886683	-0.0633759489888795	-0.0224627162044952	0.029327794918239	-0.0271828038609278
