"gene_id","amplitude","regulated","lrt_fdr","archetype","distance","d_pca2","d_umap","correlation","distance_flag","ml_r2","ml_flag","kinetics_flag","convergence","convergence_label"
"TraesCAD_scaffold_056887_01G000200",0.389149168125317,FALSE,0.388516002033628,"kinetics_limited",5.25357003687353,5.14752970070938,2.27570062556349,0.768999885315083,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_057016_01G000100",-12.5734938649716,TRUE,0.0243213012767565,"anticorrelated",3.0113497571807,1.76820966423091,5.95376979641577,-0.732860552623194,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_057056_01G000300",-0.502391888837102,FALSE,0.445010621534769,"kinetics_limited",5.56873276199705,5.33654260255598,6.86370995148281,0.266415400008952,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_087293_01G000100",3.93995818596068,TRUE,0.000101845743351675,"amplified",2.60591864344982,1.52892421731402,2.75662906087975,0.0552850069174552,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_057129_01G000100",-40.1507246281343,TRUE,1.65450512433481e-09,"anticorrelated",2.12828807912827,1.42699181014728,4.55884836920817,-0.115012600972286,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_057132_01G000100",1.75447038114174,TRUE,3.50280469287283e-08,"amplified",3.87776031223607,2.89960073313767,1.42287681032693,0.884757267355899,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_057181_01G000300",1.77826537937931,TRUE,0.0479927186230602,"amplified",2.03974433615312,1.63016793036267,2.54119997820848,0.671034624047723,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_057249_01G000200",-1.00273473756683,TRUE,0.0187563485905,"anticorrelated",1.00567836690494,0.445004062272287,1.48516372551924,0.661098469407416,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_057434_01G000200",0.799908528373142,FALSE,0.880243091882371,"concordant",4.6603269440709,4.5078312225621,4.27318794052335,-0.16147636720423,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_057435_01G000100",21.1035794820905,FALSE,0.307771815231823,"concordant",4.48411021131072,2.36003598539687,4.71632036395096,-0.147966548229905,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_057504_01G000100",-0.134710438296692,FALSE,0.680229429320407,"kinetics_limited",5.79425674796447,5.02266359795687,7.4333398671774,-0.763075982959718,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_057564_01G000400",20.5529402621321,FALSE,0.502133094234886,"concordant",6.0644689959599,5.45613346029855,4.45275579373594,0.245365118494259,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_057590_01G000100",0.489716341794398,FALSE,0.167140765807519,"kinetics_limited",4.83751570834396,4.56792216078779,3.39790621252391,0.807471797212665,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_057623_01G000200",20.0149261557519,FALSE,0.892414277047384,"concordant",5.22552693183271,2.26497304623393,5.04171768978137,0.112390420602389,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_057623_01G000300",0.261631257682427,FALSE,0.932677896292932,"kinetic_lag",9.0754727734312,6.85466816152223,8.8780503680687,0.398831858413961,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_057773_01G000200",-20.0059659577105,TRUE,0.0297872304801393,"anticorrelated",2.26921901418391,2.23156488579232,3.5792295842565,0.274624059450206,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_057998_01G000300",-5.81626882794655,FALSE,0.490883678506859,"kinetics_limited",4.45959498784569,0.851019948037434,7.2902940959715,-0.0743672808231819,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_058040_01G000200",7.13182471137834,FALSE,0.947948253938433,"kinetic_lag",4.2317176194696,3.98492314557519,7.91708259245404,0.418293432551938,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_058063_01G000100",0.491358187041699,FALSE,0.619803480013924,"kinetic_lag",5.11075711748844,4.30102714253019,7.61208227523796,-0.229664924104656,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_058271_01G000200",2.26196537091352,TRUE,0.0109901612629077,"amplified",2.86901958309738,1.72944282730639,3.56101523135394,0.619675980647728,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_058352_01G000200",6.80550075599515,FALSE,0.913383621346943,"kinetic_lag",4.89232469243603,4.74990102824066,6.61950995452811,0.01477221343347,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_059186_01G000100",0.720277671755573,TRUE,0.0216238258312817,"buffered",3.56897776359083,3.20404192809005,0.963143960239861,0.939411414605819,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_059187_01G000100",1.42210281867211,FALSE,0.833655974703461,"concordant",3.96850842704455,2.15172679204026,2.81370638328547,0.358812013848657,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_059485_01G000400",31.4922173094545,TRUE,0.0177278082196106,"amplified",3.20792680382439,1.3685352331461,2.90794702143098,0.463015704386112,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_135637_01G000100",1.67482844983566,FALSE,0.776794531985997,"concordant",4.64502115773081,4.56623947567994,7.05230789715628,-0.692237226037851,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_059536_01G000100",64.2064521839977,TRUE,1.87198856884182e-20,"amplified",3.88621125563229,1.44271335715349,1.96343212564195,0.133071488180038,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_059596_01G000100",13.9100492618925,FALSE,0.892161480737657,"concordant",4.80493702817869,1.87147609743207,5.09039123416106,0.257022390003004,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_059685_01G000400",3.40496712670859,FALSE,0.971835316873366,"kinetics_limited",4.22767066205098,3.04998366875308,5.60448106661936,-0.128852627435647,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_059686_01G000100",-0.708457005898131,TRUE,0.000350494647012285,"anticorrelated",2.37323556647322,1.84198235730654,5.21058006644181,-0.387235317544057,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_090945_01G000100",3.10321635116132,FALSE,0.971443299091276,"kinetics_limited",5.06879945274016,5.01221311128344,8.06269851066266,-0.843022701922478,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_060060_01G000200",-2.839687033949,TRUE,0.000266392761409698,"anticorrelated",3.80134739079669,2.93276882872366,5.64088904871637,-0.457874703815291,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_060265_01G000100",-18.9091024306716,TRUE,0.00476719263754072,"anticorrelated",2.79296222133489,1.50384067492272,4.10813624582023,-0.211338499849364,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_060493_01G000200",0.467608415035371,FALSE,0.634084929709513,"concordant",5.51640683320788,4.86885353284444,8.92064076232396,0.0577552072759991,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_060817_01G000400",0.940214348629869,FALSE,0.965852888526625,"concordant",4.36005805843057,3.85139690735828,4.82946420752901,0.772358924947354,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_060958_01G000300",1.32327597748969,FALSE,0.938765058743013,"concordant",5.10545893398822,3.35126711716556,7.25433023543002,-0.31198990493819,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_122117_01G000100",1.42027241718902,FALSE,0.986229014539173,"kinetics_limited",4.37467111453236,4.22925329315248,7.28182397813186,0.083945080991669,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_061018_01G000400",79.1920183066446,TRUE,0.0210944965845928,"amplified",2.11768203890611,1.04612692641453,3.49087042855604,-0.282353054657391,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_061524_01G000200",5.98245066061014,FALSE,0.959704417364133,"kinetic_lag",4.09491934656318,3.67013438293531,3.02124710071632,0.225448681920885,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_108891_01G000100",-1.33341543026328,TRUE,2.39901795586778e-07,"anticorrelated",3.93147479354875,3.29594247294522,7.17201121864981,-0.51142903501421,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_061622_01G000400",5.56804752395352,TRUE,0.00808584565397677,"amplified",2.20054374916847,0.996148393415774,2.73935009293458,0.480190383084078,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_061673_01G000100",2.88024657754061,TRUE,0.000971518419401692,"amplified",3.52025456997928,3.37510733209166,5.23732765445946,-0.0229825012967871,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_061673_01G000200",-12.380808459753,TRUE,4.92935780032231e-06,"anticorrelated",3.91621102808263,3.38869576651525,6.56564472766975,-0.243269927440757,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_061818_01G000100",0.406817486354779,TRUE,0.0292150442164741,"buffered",3.46737142819031,3.02620546744167,3.92926957594891,0.780223110187643,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_061976_01G000100",0.895257373717402,FALSE,0.232633159733374,"concordant",7.74451086059617,5.46404327741741,0.486669401426395,0.824118846962196,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_061996_01G000100",1.02224355496112,FALSE,0.986229014539173,"kinetics_limited",4.33746392672852,3.7548040008076,2.3127813147336,0.735469724977722,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_062039_01G000200",0.226877212865911,FALSE,0.976315398032688,"kinetics_limited",5.33435594175447,5.03848090382966,9.73136032172802,0.328355679366167,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_062102_01G000500",4.40355621285816,TRUE,0.00609083259168371,"amplified",0.922653739084532,0.563411635576038,1.75604246336546,0.908605608252616,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_062199_01G000200",-6.58692043854101,TRUE,0.00073823807862668,"anticorrelated",2.53768842525277,2.13394998728284,4.73345354653576,-0.858927830053081,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_062254_01G000200",0.882036131706039,FALSE,0.915886947537547,"kinetics_limited",8.16514565995593,7.27312637969086,2.68012373022343,0.630580704103282,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_062520_01G000100",0.0995198830964805,FALSE,0.874985391614222,"kinetics_limited",5.48227568714783,5.35409932566837,9.2260943555486,-0.408810716433919,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_062839_01G000100",0.402495307446736,TRUE,5.66811242753599e-06,"buffered",3.47136540571835,2.87665911117768,0.616437236639008,0.866139569162176,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_062950_01G000100",-10.6580150213333,TRUE,0.0131741789243274,"anticorrelated",2.44379209631388,2.35935687934604,5.50191227228944,0.141841660474764,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_063047_01G000400",30.1932606739525,FALSE,0.270509867822426,"kinetic_lag",5.25330394756,2.74875800849415,5.29387784674855,-0.443716578726895,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_063102_01G000100",1.19275435040534,FALSE,0.947557229343199,"kinetics_limited",4.48074454483064,3.18795585611423,0.478779932952433,0.841252949663939,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_063114_01G000300",0.547869517151641,FALSE,0.658017183349471,"concordant",4.80501322733588,4.48609015625591,6.93403982782409,0.00730103253507426,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_063153_01G000100",-3.29501518707118,TRUE,0.000137573077432849,"anticorrelated",2.39179424765092,1.532771523163,4.11259227974096,-0.546690259135935,0,NA,0,1,1,"1 method flags"
"TraesCAD_scaffold_063284_01G000100",2.48082613583812,FALSE,0.163464828524786,"concordant",8.50472396604537,6.38006803032759,4.18265151833552,-0.253517178987221,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_063307_01G000200",-9.4100486212503,FALSE,0.529306446416881,"kinetics_limited",4.36150756056904,4.05397480262455,4.21628076224442,-0.109782459571269,1,NA,0,0,1,"1 method flags"
"TraesCAD_scaffold_063455_01G000100",8.45867112645738,TRUE,3.97813366672888e-29,"amplified",3.31117124754098,2.06660103505426,2.76660212739291,0.0125395209414578,0,NA,0,1,1,"1 method flags"
