feature	loading	boot_mean	boot_sd	stability
TraesNOR1A03G00000030	0.0140909220961671	0.0465458408864869	0.915530962993224	0.54
TraesNOR1A03G00003900	0.0177812377615738	0.0594466666619892	0.943215364160652	0.53
TraesNOR1A03G00004290	0.494894980474201	0.0109770717893903	0.724011793822763	0.5
TraesNOR1A03G00005050	0.0175402262227752	-0.0091096907340311	0.719323296975194	0.5
TraesNOR1A03G00006950	1.45028446528957	0.00608707036376357	0.958618337026912	0.47
TraesNOR1A03G00007640	0.0336474934552233	0.0767909557335841	0.836386327903382	0.58
TraesNOR1A03G00009270	0.343967461420515	0.00669437282362368	0.889440202014402	0.52
TraesNOR1A03G00009760	2.09370958797097	0.0281467124174326	0.787453999164096	0.51
TraesNOR1A03G00010740	0.209472882115569	0.144284323391789	0.824824938604214	0.53
TraesNOR1A03G00010780	0.0589389760031347	0.0387507933971774	0.892815678338679	0.53
TraesNOR1A03G00011550	0.623635524582998	-0.0661644057080167	0.95594661086101	0.47
TraesNOR1A03G00011890	0.00183163301846774	0.02292384549858	0.885295584793914	0.53
TraesNOR1A03G00013400	0.0107528450625854	0.0377901490240038	0.773290193819809	0.5
TraesNOR1A03G00015580	0.211988063181478	-0.0900353781122131	0.875396536357433	0.45
TraesNOR1A03G00015590	-0.240783255960628	0.0393496234443867	0.903563973241822	0.47
TraesNOR1A03G00018120	1.55791843704455	0.00796099545514085	0.874720619193396	0.54
TraesNOR1A03G00019190	0.346835135911587	-0.079992494720219	0.762393768404583	0.49
TraesNOR1A03G00021290	-0.24502152340328	-0.0313192588904504	0.773624755175017	0.55
TraesNOR1A03G00023280	0.70481672178164	-0.0754405199331202	0.849059942879258	0.44
TraesNOR1A03G00023360	-0.155673390512936	-0.187564074923312	0.76308270236559	0.58
TraesNOR1A03G00023440	0.21472462404903	-0.0511787294123515	0.8031401398795	0.5
TraesNOR1A03G00023510	0.794785133052777	-0.0529091251506145	0.811666530264874	0.53
TraesNOR1A03G00023610	0.0518885837854263	-0.0566899126242469	0.816269824759784	0.47
TraesNOR1A03G00023780	0.426495737099704	0.0413648590012232	0.843345133591832	0.47
TraesNOR1A03G00025530	-0.940990851439129	0.0148269790310173	0.901818710390079	0.5
TraesNOR1A03G00026570	-0.0998879796873223	-0.0708806016224914	0.746370491854354	0.52
TraesNOR1A03G00027820	0.359108558083911	0.081923261265985	0.780629197038322	0.57
TraesNOR1A03G00028650	0.0443420485194258	0.106741965554287	0.869841989789863	0.54
TraesNOR1A03G00028750	-0.777428623201991	-0.119845279242961	0.830931140586117	0.55
TraesNOR1A03G00029570	1.73912036448337	-0.060348028731784	0.814066898148463	0.47
TraesNOR1A03G00033230	-0.936498749758367	0.0671863003601801	0.891199374032427	0.47
TraesNOR1A03G00034440	1.08443996989328	0.115155367771805	0.798148602215494	0.63
TraesNOR1A03G00034990	0.708112371825907	-0.0608728915231626	0.770563291806692	0.47
TraesNOR1A03G00035000	-0.0524467727394569	-0.0211692364979708	0.927086517049035	0.57
TraesNOR1A03G00036300	0.0273803858983987	-0.0122326110312615	0.715200998588326	0.52
