pathway	pval	padj	log2err	ES	NES	size	leadingEdge
misc.UDP glucosyl and glucoronyl transferases	0.000544955479545218	0.0118527816801085	0.477270815362862	0.486529759130643	1.69498416230358	48	traescad_scaffold_003324_01g000300;traescad_scaffold_006571_01g001600;traescad_scaffold_026512_01g000700;traescad_scaffold_118956_01g000300;traescad_scaffold_092634_01g000300;traescad_scaffold_051018_01g000200;traescad_scaffold_072455_01g000100;traescad_scaffold_109499_01g000200;traescad_scaffold_001778_01g000200;traescad_scaffold_014474_01g000300;traescad_scaffold_011532_01g000300;traescad_scaffold_044673_01g000300;traescad_scaffold_030529_01g000400;traescad_scaffold_070133_01g000100;traescad_scaffold_050078_01g000100;traescad_scaffold_080896_01g000100;traescad_scaffold_007135_01g000800;traescad_scaffold_016123_01g000100;traescad_scaffold_039251_01g000300;traescad_scaffold_054181_01g000400;traescad_scaffold_109202_01g000100;traescad_scaffold_034880_01g000200;traescad_scaffold_004305_01g000400;traescad_scaffold_009544_01g000400;traescad_scaffold_050078_01g000200;traescad_scaffold_058959_01g000100;traescad_scaffold_025578_01g000200;traescad_scaffold_129695_01g000100;traescad_scaffold_044770_01g000400;traescad_scaffold_112374_01g000100;traescad_scaffold_153933_01g000100;traescad_scaffold_144910_01g000200;traescad_scaffold_029972_01g000100
misc.acid and other phosphatases	0.675324675324675	1	0.031636972118622	0.297171454121276	0.834337156522052	10	traescad_scaffold_042639_01g000300;traescad_scaffold_040161_01g000800;traescad_scaffold_024916_01g000200;traescad_scaffold_087963_01g000200;traescad_scaffold_023448_01g000400;traescad_scaffold_012213_01g000400;traescad_scaffold_061432_01g000100;traescad_scaffold_039007_01g000200
misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase	4.74264795531641e-05	0.00225836819903191	0.557332238758646	0.662300857891903	2.07759498826997	20	traescad_scaffold_084164_01g000200;traescad_scaffold_031873_01g000200;traescad_scaffold_024820_01g000100;traescad_scaffold_042449_01g000200;traescad_scaffold_031796_01g000100;traescad_scaffold_088532_01g000400;traescad_scaffold_001691_01g000600;traescad_scaffold_000655_01g000500;traescad_scaffold_024558_01g000200;traescad_scaffold_020853_01g000100;traescad_scaffold_040962_01g000300;traescad_scaffold_048500_01g000100;traescad_scaffold_122424_01g000300;traescad_scaffold_055807_01g000300;traescad_scaffold_061996_01g000100
misc.cytochrome P450	0.00859388556192205	0.115025852905726	0.380730400722792	0.443931373307526	1.52867468257758	42	traescad_scaffold_069519_01g000100;traescad_scaffold_086440_01g000400;traescad_scaffold_028420_01g000500;traescad_scaffold_041441_01g000400;traescad_scaffold_043096_01g000300;traescad_scaffold_105177_01g000100;traescad_scaffold_058389_01g000100;traescad_scaffold_006571_01g000300;traescad_scaffold_006571_01g000500;traescad_scaffold_047163_01g000100;traescad_scaffold_142241_01g000100;traescad_scaffold_008068_01g000100;traescad_scaffold_111122_01g000100;traescad_scaffold_048246_01g000100;traescad_scaffold_052908_01g000200;traescad_scaffold_052908_01g000100;traescad_scaffold_052681_01g000100;traescad_scaffold_014261_01g000300;traescad_scaffold_033200_01g000100;traescad_scaffold_051536_01g000100;traescad_scaffold_069577_01g000100;traescad_scaffold_088922_01g000100;traescad_scaffold_049250_01g000200;traescad_scaffold_136017_01g000100;traescad_scaffold_021231_01g000100;traescad_scaffold_041680_01g000100;traescad_scaffold_017263_01g000100;traescad_scaffold_050454_01g000100;traescad_scaffold_003422_01g000200;traescad_scaffold_127676_01g000100;traescad_scaffold_030360_01g000100;traescad_scaffold_121737_01g000200;traescad_scaffold_112741_01g000100;traescad_scaffold_000802_01g000100;traescad_scaffold_022283_01g000400;traescad_scaffold_003324_01g000600;traescad_scaffold_011934_01g000300
misc.dynamin	0.969030969030969	1	0.00815591848796014	0.12775297695381	0.342597647036189	8	traescad_scaffold_076444_01g000100;traescad_scaffold_052715_01g000200;traescad_scaffold_054969_01g000100;traescad_scaffold_002217_01g000100;traescad_scaffold_036985_01g000200;traescad_scaffold_055540_01g000100;traescad_scaffold_035987_01g000200
misc.gluco-, galacto- and mannosidases	0.0929070929070929	0.436914436914437	0.142901149386948	0.474364413679795	1.41554093903617	15	traescad_scaffold_062445_01g000100;traescad_scaffold_079577_01g000100;traescad_scaffold_005286_01g000100;traescad_scaffold_025728_01g000200;traescad_scaffold_089317_01g000100
misc.glutathione S transferases	0.0839160839160839	0.417182817182817	0.151148761385484	0.388870555964501	1.33359751869777	40	traescad_scaffold_051155_01g000100;traescad_scaffold_068638_01g000100;traescad_scaffold_103917_01g000200;traescad_scaffold_092074_01g000100;traescad_scaffold_009750_01g000200;traescad_scaffold_001695_01g000300;traescad_scaffold_029359_01g000100;traescad_scaffold_089470_01g000100;traescad_scaffold_018210_01g000300;traescad_scaffold_100017_01g000300;traescad_scaffold_037375_01g000300;traescad_scaffold_083311_01g000200;traescad_scaffold_097718_01g000300;traescad_scaffold_083772_01g000500;traescad_scaffold_001469_01g001200;traescad_scaffold_094579_01g000100;traescad_scaffold_018210_01g000400;traescad_scaffold_031455_01g000100
misc.misc2	0.712287712287712	1	0.0289981119993578	0.26284099238233	0.829463864673567	21	traescad_scaffold_011449_01g000200;traescad_scaffold_129143_01g000200;traescad_scaffold_112622_01g000100;traescad_scaffold_041470_01g000100;traescad_scaffold_063623_01g000200;traescad_scaffold_003694_01g000100;traescad_scaffold_010512_01g000200;traescad_scaffold_052934_01g000300;traescad_scaffold_078634_01g000100;traescad_scaffold_000673_01g000100;traescad_scaffold_120142_01g000100;traescad_scaffold_014513_01g000200
misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases	0.173826173826174	0.63011988011988	0.0995791200495904	0.404932402444306	1.27787067161289	21	traescad_scaffold_021221_01g000100;traescad_scaffold_053432_01g000100;traescad_scaffold_029791_01g000100;traescad_scaffold_056887_01g000200;traescad_scaffold_032169_01g000300;traescad_scaffold_005155_01g000500;traescad_scaffold_011922_01g000100;traescad_scaffold_011939_01g000900;traescad_scaffold_022587_01g000200;traescad_scaffold_012103_01g000100;traescad_scaffold_042001_01g000100;traescad_scaffold_013124_01g000600;traescad_scaffold_037839_01g000200;traescad_scaffold_047595_01g000200;traescad_scaffold_029949_01g000100
misc.oxidases - copper, flavone etc	0.213786213786214	0.688866688866689	0.0875697115548511	0.36687082991359	1.21153647175896	29	traescad_scaffold_004054_01g000200;traescad_scaffold_036436_01g000500;traescad_scaffold_037943_01g000200;traescad_scaffold_060918_01g000200;traescad_scaffold_004054_01g000300;traescad_scaffold_025339_01g000200;traescad_scaffold_078796_01g000100;traescad_scaffold_016075_01g000100;traescad_scaffold_012700_01g000200;traescad_scaffold_102171_01g000100;traescad_scaffold_039032_01g000500;traescad_scaffold_077055_01g000100;traescad_scaffold_023171_01g000100;traescad_scaffold_073518_01g000200;traescad_scaffold_007562_01g000600;traescad_scaffold_098540_01g000200
