pathway	pval	padj	log2err	ES	NES	size	leadingEdge
misc.UDP glucosyl and glucoronyl transferases	0.00859388556192205	0.0933743570951549	0.380730400722792	0.470237307516906	1.58298840629754	41	traesnor3a03g01368630;traesnor3d03g01863090;traesnor1d03g00552350;traesnor2d03g01105410;traesnor5a03g02660040;traesnor2d03g01105210;traesnor5b03g02844900;traesnor2a03g00594840;traesnor5b03g03005830;traesnor1a03g00021290;traesnor6d03g03685650;traesnor2b03g00840710;traesnor2a03g00756940;traesnor3d03g01853500;traesnor3b03g01610360;traesnor7d03g04335400;traesnor5b03g02992170;traesnor6d03g03740540;traesnor3b03g01610530;traesnor6a03g03270410;traesnor1d03g00552300;traesnor3d03g01860580;traesnor5d03g03167850;traesnor2b03g01020190;traesnor6b03g03540180;traesnor3a03g01458920;traesnor4d03g02496470;traesnor3b03g01700670;traesnor5a03g02735290
misc.acid and other phosphatases	0.904095904095904	1	0.0148592627836833	0.192949686397715	0.531095955936404	10	traesnor3d03g01929280;traesnor4a03g02049710;traesnor7d03g04529260;traesnor7d03g04472240;traesnor4a03g02055630;traesnor7a03g03843230;traesnor6b03g03518570;traesnor1a03g00178500;traesnor5b03g02950590;traesnor4d03g02575860
misc.beta 1,3 glucan hydrolases.glucan endo-1,3-beta-glucosidase	2.4358451976331e-07	2.0461099660118e-05	0.674962860011025	0.786080207012058	2.31087885849748	15	traesnor3d03g02008900;traesnor3a03g01527950;traesnor3d03g02007900;traesnor1d03g00577680;traesnor3d03g02009000;traesnor3b03g01787670;traesnor5a03g02765930;traesnor1d03g00577600;traesnor3b03g01788810;traesnor3a03g01528760;traesnor3a03g01527450;traesnor1a03g00175470;traesnor3d03g02010110
misc.cytochrome P450	0.000819717564893581	0.0162361637358634	0.477270815362862	0.55002421924987	1.7859085172723	31	traesnor2a03g00594530;traesnor2a03g00594610;traesnor3a03g01344960;traesnor2a03g00594550;traesnor2a03g00743380;traesnor5b03g03024270;traesnor5d03g03240990;traesnor2d03g01101050;traesnor2a03g00588000;traesnor7d03g04530810;traesnor5d03g03240710;traesnor6d03g03722920;traesnor2d03g01105250;traesnor2d03g01289180;traesnor2a03g00594680
misc.dynamin	1	1	0	0.00232828870779977	0.00575350132460883	5	traesnor7d03g04390410;traesnor1d03g00564570;traesnor7b03g04130130;traesnor4d03g02443810;traesnor7a03g03914250
misc.gluco-, galacto- and mannosidases	0.575424575424575	1	0.0391956336118146	0.31036996848185	0.936167059939875	18	traesnor5d03g03212510;traesnor3a03g01513310;traesnor5d03g03212340;traesnor3d03g01994610;traesnor2b03g01085710;traesnor5a03g02753100;traesnor5d03g03180700;traesnor3d03g02014480;traesnor7d03g04407950;traesnor4a03g02162020;traesnor3b03g01745690;traesnor3d03g01994790;traesnor5d03g03180660;traesnor3b03g01802710
misc.glutathione S transferases	0.000966438317610918	0.0162361637358634	0.477270815362862	0.530875769610897	1.75737682398318	35	traesnor1a03g00091890;traesnor4d03g02524430;traesnor5d03g03065710;traesnor1a03g00091970;traesnor1b03g00291340;traesnor7a03g03850720;traesnor5d03g03183560;traesnor2d03g01108180;traesnor5d03g03225170;traesnor7d03g04328370;traesnor5a03g02604010;traesnor7d03g04345950;traesnor1d03g00494070;traesnor4a03g02227080;traesnor3a03g01371880;traesnor4b03g02261560;traesnor4d03g02441990;traesnor5b03g03002290;traesnor2b03g01059720;traesnor5a03g02764280;traesnor3d03g01996590;traesnor4d03g02570170
misc.misc2	0.175824175824176	0.724543748933993	0.0988903007520636	0.407826016939796	1.26151058154387	22	traesnor1b03g00319390;traesnor1a03g00112660;traesnor5b03g03031500;traesnor3b03g01675920;traesnor1d03g00516240;traesnor5a03g02604780;traesnor1a03g00085070;traesnor6d03g03828350;traesnor3a03g01465930;traesnor7d03g04399370;traesnor3a03g01424870;traesnor1a03g00123000;traesnor3d03g01885880
misc.nitrilases, *nitrile lyases, berberine bridge enzymes, reticuline oxidases, troponine reductases	0.160839160839161	0.724543748933993	0.104343952581949	0.421164386299326	1.2905377794458	20	traesnor2d03g01275910;traesnor2a03g00825380;traesnor1b03g00383010;traesnor2b03g01087310;traesnor7d03g04483830;traesnor3b03g01725970;traesnor2b03g01037350;traesnor5b03g02824880;traesnor3b03g01747650;traesnor5a03g02593840;traesnor7a03g04016660;traesnor4d03g02528500;traesnor2b03g01095930;traesnor5d03g03069100
misc.oxidases - copper, flavone etc	0.164835164835165	0.724543748933993	0.102821842840815	0.398790537054122	1.26441706259866	26	traesnor4d03g02551270;traesnor4b03g02382270;traesnor4b03g02381910;traesnor4d03g02551490;traesnor5a03g02737690;traesnor6d03g03724460;traesnor4b03g02382300;traesnor7d03g04339020;traesnor4a03g02042630;traesnor5b03g02948430;traesnor7d03g04447470;traesnor6a03g03313950;traesnor2b03g00965020;traesnor4b03g02280910;traesnor4d03g02462260
