"gene_id","d_full","d_pca2","d_umap","correlation","amplitude"
"TraesNOR1D03G00570400",15.0255770405895,3.89394888360926,4.89149931486453,-0.0626447724557185,1.42596582568988
"TraesNOR6A03G03297390",14.1071816516793,10.1851153413724,4.87613466956092,-0.278914222684906,0.746578974882814
"TraesNOR2B03G00927270",14.0525646207294,9.51085051508288,3.98648420517498,0.296750063363685,3.96582089005922
"TraesNOR2D03G01226140",13.0324887582004,9.84663774886225,5.10403696030138,-0.155828929935666,2.56919456074081
"TraesNOR1A03G00156570",12.8526425619602,10.179144974383,11.0127515814815,0.319421891260124,0.738796080818694
"TraesNOR3D03G01932610",12.8427701243937,12.0239011143797,6.07440032400555,0.123277546468061,-0.905063618548241
"TraesNOR2A03G00800550",12.5052302683114,9.52601902696197,9.64545918408786,-0.782724030788455,1.50978853995393
"TraesNOR4D03G02551270",12.3531770772563,11.4924794383759,7.37805130117661,-0.720004152679344,-0.113312001243881
"TraesNOR7D03G04390710",12.276639667852,11.3514016292431,3.8072229753259,0.648352556260531,-1.6222463229487
"TraesNOR7A03G03920620",12.2383286261755,5.14254818942561,6.13318250290016,-0.350544945044731,1.67768610970618
"TraesNOR6A03G03323590",11.9055716487419,8.26345364264667,7.84737509979958,-0.342136029210494,3.12820666462306
"TraesNOR7B03G04214550",11.8969507271071,11.4465666353754,3.17600379405226,0.757648120468891,-1.39744393548632
"TraesNOR1A03G00091890",11.7604948880437,10.8667318777975,7.40961527456723,-0.567899934796886,-0.424752173965277
"TraesNOR2D03G01170600",11.7457649968926,10.7313941864401,6.48251310870935,0.0120591321902563,-0.508535642453448
"TraesNOR7A03G03913820",11.7190248024048,8.98832898078035,4.58183276545631,-0.271721969748946,0.385027713638292
"TraesNOR3D03G02008900",11.0421014603616,5.29049457825031,0.743247189605485,0.669825387124964,-0.0694231399308505
"TraesNOR6D03G03765110",10.8120242945475,6.64783672348251,7.29611955153787,-0.188465789485173,0.670915159669947
"TraesNOR5B03G03009870",10.7448817365834,6.71725853837568,6.40177657031796,-0.695859545325755,0.907317016237757
"TraesNOR2D03G01131120",10.6367559114603,9.63904082795929,1.42363221306245,0.70637581142551,-1.2640026789017
"TraesNOR4B03G02382270",10.6097152728426,9.77924249925779,5.96669709626469,-0.332128183717611,0.908465456945405
"TraesNOR1D03G00501630",10.60968998492,10.4027623878858,3.84037276631275,0.820956904615336,-2.03079118090574
"TraesNOR1B03G00394260",10.5516808064169,8.41764966086699,6.46365095692358,-0.455276918587513,-0.23667690835108
"TraesNOR1D03G00498510",10.5124416499546,5.04149068710934,2.79929231246208,-0.246592503965158,0.224970128075651
"TraesNOR1D03G00508590",10.4200005842499,4.51208747834351,12.5194157237337,0.356441980583394,1.80627894295019
