"gene_id","amplitude","regulated","rna_responds","lrt_fdr","lrt_p","archetype","t_half_M1_h","identifiable"
"TraesCAD_scaffold_022784_01G000200",-0.442247334984911,FALSE,TRUE,0.488939056948222,0.241517843016735,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015039_01G000300",2.54942590542592,TRUE,TRUE,0.0493755768430818,0.0122465588442339,"amplified",12,TRUE
"TraesCAD_scaffold_069577_01G000100",0.596388086324584,FALSE,TRUE,0.8924194103773,0.686127016547206,"kinetic_lag",12,TRUE
"TraesCAD_scaffold_118801_01G000100",13.6871913646954,FALSE,TRUE,0.859490304843233,0.623729900700352,"concordant",432,TRUE
"TraesCAD_scaffold_041822_01G000400",12.1189378591675,FALSE,TRUE,0.697668131027963,0.421585309090427,"concordant",432,TRUE
"TraesCAD_scaffold_064635_01G000100",-0.941558563600507,FALSE,TRUE,0.0957534760898881,0.02723311228578,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_096465_01G000100",8.88533045050091,FALSE,TRUE,0.270172110118961,0.103420721722957,"concordant",432,TRUE
"TraesCAD_scaffold_015213_01G000200",-0.346756916203435,FALSE,TRUE,0.395759410508212,0.175396598958209,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_090851_01G000100",0.438443580147746,FALSE,TRUE,0.8342262500764,0.583545043846437,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_111708_01G000100",0.420572229871038,FALSE,TRUE,0.587247577873488,0.317829334261278,"kinetics_limited",17.2496981289927,FALSE
"TraesCAD_scaffold_015256_01G000200",3.34439835635719,TRUE,TRUE,0.0229087789854601,0.00493356896643171,"amplified",12,TRUE
"TraesCAD_scaffold_015296_01G000200",-0.374866544777645,FALSE,TRUE,0.840623924914048,0.594010777049479,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015297_01G000200",2.53395055816871,FALSE,FALSE,0.641870339343811,0.365106891949329,"protein_only",12,TRUE
"TraesCAD_scaffold_015321_01G000400",-0.107229639379512,FALSE,TRUE,0.617928222597725,0.342603350106636,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015335_01G000200",2.53326419604999,FALSE,FALSE,0.792621204122484,0.527040308940672,"unchanged",12,TRUE
"TraesCAD_scaffold_015346_01G000400",0.875861509186236,FALSE,TRUE,0.971835316873366,0.909136264171859,"kinetics_limited",84.3883717207478,FALSE
"TraesCAD_scaffold_015368_01G000200",1.36105621081001,FALSE,TRUE,0.952542059723131,0.83936367520764,"concordant",12,TRUE
"TraesCAD_scaffold_079608_01G000200",-3.10449792393401,TRUE,TRUE,2.42789410525338e-08,1.5620322290071e-09,"anticorrelated",12,FALSE
"TraesCAD_scaffold_015369_01G000400",0.50394443762214,FALSE,FALSE,0.96028435715998,0.860755152291353,"unchanged",12,TRUE
"TraesCAD_scaffold_079485_01G000200",2.82597566411522,FALSE,TRUE,0.937966027896015,0.796840272594646,"kinetics_limited",432,FALSE
"TraesCAD_scaffold_137161_01G000200",5.79874114187604,FALSE,TRUE,0.947755802282212,0.816277564824127,"kinetics_limited",432,FALSE
"TraesCAD_scaffold_015455_01G000200",-0.0857841787471176,FALSE,TRUE,0.970917628851839,0.905667788203194,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015477_01G000300",10.4742595787706,FALSE,TRUE,0.705213993273857,0.430584959692479,"concordant",432,TRUE
"TraesCAD_scaffold_042795_01G000100",-0.373269898431337,FALSE,TRUE,0.616803012210333,0.341562958374539,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015490_01G000400",-0.252845143721726,FALSE,TRUE,0.539502049818338,0.280386369977273,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015500_01G000100",-0.905728277575035,FALSE,TRUE,0.329551275695523,0.136139731094621,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015541_01G000100",8.78373442071253,FALSE,TRUE,0.154557830618607,0.0496670769277592,"concordant",432,TRUE
"TraesCAD_scaffold_015551_01G000100",12.6476525607969,FALSE,TRUE,0.684204485064106,0.408315579796321,"concordant",432,TRUE
"TraesCAD_scaffold_015577_01G000100",3.02867006425008,FALSE,TRUE,0.963291577773344,0.870254731201565,"kinetics_limited",432,FALSE
"TraesCAD_scaffold_015581_01G000100",2.22167372657263,TRUE,TRUE,2.38522638993286e-06,1.98768865827738e-07,"amplified",12,TRUE
"TraesCAD_scaffold_085467_01G000100",0.610269590672554,FALSE,TRUE,0.891823545799941,0.683849423990575,"kinetic_lag",19.7643071395929,TRUE
"TraesCAD_scaffold_015599_01G000100",43.8037314136802,FALSE,TRUE,0.654152114798327,0.376224208699465,"concordant",432,TRUE
"TraesCAD_scaffold_034756_01G000100",3.80775967173229,FALSE,TRUE,0.96028435715998,0.860814042027638,"kinetics_limited",432,FALSE
"TraesCAD_scaffold_120988_01G000200",10.2746004937698,FALSE,TRUE,0.752916668733792,0.482384660728831,"concordant",432,TRUE
"TraesCAD_scaffold_015634_01G000200",-0.0245033081967847,FALSE,TRUE,0.720247272122885,0.446203734811667,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015639_01G000200",0.240244270461445,FALSE,FALSE,0.934788737507055,0.786361708576723,"protein_only",12,FALSE
"TraesCAD_scaffold_015651_01G001000",-4.02278933814729,TRUE,TRUE,4.99251178112699e-10,2.47836158310426e-11,"anticorrelated",12,FALSE
"TraesCAD_scaffold_015655_01G000200",1.85213516784972,TRUE,TRUE,0.00224845831538197,0.00034895428335498,"amplified",25.9466793113818,TRUE
"TraesCAD_scaffold_018956_01G000100",8.89348993920646,FALSE,TRUE,0.963477487221038,0.871273727691282,"kinetic_lag",432,TRUE
"TraesCAD_scaffold_015709_01G000200",-0.164587932298284,FALSE,TRUE,0.477854428860792,0.231684577510847,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015711_01G000100",5.28284044924229,FALSE,TRUE,0.644624534386899,0.367259015116797,"kinetic_lag",432,TRUE
"TraesCAD_scaffold_015725_01G000100",7.19953923471737,FALSE,TRUE,0.87364525946068,0.645370207795147,"kinetic_lag",432,TRUE
"TraesCAD_scaffold_045308_01G000200",1.37853631305017,FALSE,TRUE,0.922812515176549,0.743211369749715,"concordant",12,TRUE
"TraesCAD_scaffold_015733_01G000200",9.47867269323987,FALSE,TRUE,0.977424763222088,0.927912980813325,"kinetic_lag",432,TRUE
"TraesCAD_scaffold_015736_01G000200",-0.429532936106146,TRUE,TRUE,0.00128228136186742,0.000188665411844651,"anticorrelated",12,FALSE
"TraesCAD_scaffold_015746_01G000200",1.07874516864988,FALSE,TRUE,0.995685291230113,0.994513336529337,"kinetics_limited",80.6459524794712,FALSE
"TraesCAD_scaffold_015754_01G000100",5.3787123220908,FALSE,TRUE,0.925794076314372,0.747349648608332,"kinetics_limited",432,FALSE
"TraesCAD_scaffold_015761_01G000200",0.40144432172165,FALSE,TRUE,0.634334416812616,0.357637289478941,"kinetic_lag",12,TRUE
"TraesCAD_scaffold_015801_01G000100",7.05322231170358,FALSE,TRUE,0.402635619848336,0.179594553977489,"concordant",110.785468126105,TRUE
"TraesCAD_scaffold_015802_01G000100",3.83472460320502,FALSE,TRUE,0.874505448436125,0.647400383038451,"kinetics_limited",432,FALSE
"TraesCAD_scaffold_055895_01G000100",0.454800204944858,TRUE,TRUE,2.76065541709775e-05,2.73591836138898e-06,"buffered",12,FALSE
"TraesCAD_scaffold_015824_01G000100",11.7019515091429,FALSE,TRUE,0.0610461994337739,0.0158143633031678,"concordant",138.989808141583,TRUE
"TraesCAD_scaffold_015831_01G000400",0.666356665051813,FALSE,TRUE,0.986798574195724,0.96071629203021,"kinetic_lag",42.7348449302225,TRUE
"TraesCAD_scaffold_015831_01G000500",-0.775180159560513,FALSE,TRUE,0.240083049202766,0.0878583488301163,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_015845_01G000600",8.79332124814371,FALSE,TRUE,0.955785327152876,0.850668623676639,"kinetic_lag",432,TRUE
"TraesCAD_scaffold_110421_01G000200",-0.0680283364636375,FALSE,TRUE,0.190231588629352,0.0643649226516707,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_041694_01G000300",-0.0617916003765607,FALSE,TRUE,0.763144914152677,0.492625086160922,"kinetics_limited",12,FALSE
"TraesCAD_scaffold_118335_01G000100",0.612422903204422,FALSE,TRUE,0.962245886314418,0.864296842689582,"kinetic_lag",27.1507490621466,TRUE
"TraesCAD_scaffold_015864_01G000100",0.173511070036505,FALSE,TRUE,0.529348072393169,0.272168390626523,"kinetics_limited",12,FALSE
