"gene_id","amplitude","regulated","rna_responds","lrt_fdr","lrt_p","archetype","t_half_M1_h","identifiable"
"TraesNOR6D03G03779640",-2.89310591152511,TRUE,TRUE,0.022103546801028,0.00482859027810789,"anticorrelated",12,FALSE
"TraesNOR6D03G03779910",1.20188804394293,FALSE,TRUE,0.958358979803201,0.888511533320161,"concordant",42.7348449302225,TRUE
"TraesNOR6D03G03780130",1.78062512172742,FALSE,TRUE,0.266952374146108,0.108664467087968,"concordant",29.7291080300555,TRUE
"TraesNOR6D03G03780910",6.51964228386795,FALSE,FALSE,0.0865301464578552,0.0257639460493842,"protein_only",15.0550223410211,TRUE
"TraesNOR6D03G03781470",-0.150856011379976,FALSE,TRUE,0.751860463275779,0.506729759800327,"kinetics_limited",12,FALSE
"TraesNOR6D03G03781620",-166.439783868321,FALSE,FALSE,5.07388286555315e-10,2.7341334301682e-11,"protein_only",432,FALSE
"TraesNOR6D03G03781750",-10.3128662291501,FALSE,FALSE,0.0378063803462382,0.00937281652700886,"protein_only",12,FALSE
"TraesNOR6D03G03781790",-1.40537498771373,TRUE,TRUE,0.000321196397218872,3.76826659164775e-05,"anticorrelated",17.2496981289927,FALSE
"TraesNOR6D03G03782300",0.132195288829115,FALSE,TRUE,0.904734140696329,0.76408735239657,"kinetics_limited",12,FALSE
"TraesNOR6D03G03782810",7.67077618895129,TRUE,TRUE,4.97008249482465e-06,4.05583394130873e-07,"amplified",12,TRUE
"TraesNOR6D03G03783460",6.76352885977715,FALSE,TRUE,0.723192792978876,0.463858296562726,"concordant",432,TRUE
"TraesNOR6D03G03783490",2.58350000651812,TRUE,TRUE,0.0127698864816638,0.00253714550178434,"amplified",14.387368680475,TRUE
"TraesNOR6D03G03783810",-98.3926604723234,FALSE,FALSE,2.00839722003801e-06,1.56109184965157e-07,"protein_only",40.839658393515,FALSE
"TraesNOR6D03G03784550",-2.48440552179253,TRUE,TRUE,2.70058636762034e-06,2.13576126766641e-07,"anticorrelated",12,FALSE
"TraesNOR6D03G03785110",0.841066000037462,FALSE,TRUE,0.851921241076564,0.662348536142294,"concordant",12,TRUE
"TraesNOR6D03G03787620",-1.21903867191648,TRUE,TRUE,5.82275791004699e-15,1.96386872717227e-16,"anticorrelated",12,FALSE
"TraesNOR6D03G03787750",-14.231312840527,FALSE,FALSE,0.420597995154013,0.198762921532367,"protein_only",432,FALSE
"TraesNOR6D03G03788550",145.305766861391,FALSE,FALSE,0.0778881643992943,0.0225630648031498,"protein_only",432,TRUE
"TraesNOR6D03G03789220",3.22089548468545,FALSE,FALSE,0.923479848044764,0.816310356665306,"unchanged",432,FALSE
"TraesNOR6D03G03789850",4.22500637709582,TRUE,TRUE,3.63303406291145e-09,2.08370081834504e-10,"amplified",12,TRUE
"TraesNOR6D03G03789860",7.61169392904353,FALSE,TRUE,0.749878907525612,0.503940719595134,"kinetic_lag",432,TRUE
"TraesNOR6D03G03790750",185.74875313208,FALSE,FALSE,0.00177303291092549,0.000261538679049099,"protein_only",432,TRUE
"TraesNOR6D03G03790780",1.13356649690384,FALSE,TRUE,0.993030049619159,0.990720229771237,"kinetics_limited",432,FALSE
"TraesNOR6D03G03790830",0.255850429710283,FALSE,TRUE,0.712957489995409,0.450245299942827,"kinetics_limited",12,FALSE
"TraesNOR6D03G03791150",7.50156967598638,FALSE,TRUE,0.0812825024779378,0.0238065247614197,"concordant",166.641467713453,TRUE
"TraesNOR6D03G03791550",1.14341948673411,FALSE,TRUE,0.617311203540973,0.348680916285791,"concordant",15.7536588324337,TRUE
"TraesNOR6D03G03791820",4.81823587214776,TRUE,TRUE,4.53447013822742e-09,2.64562029774463e-10,"amplified",12,TRUE
"TraesNOR6D03G03792070",0.524651183035068,FALSE,TRUE,0.428304965529168,0.20535042032932,"kinetic_lag",12,TRUE
"TraesNOR6D03G03792240",0.403633501432016,FALSE,TRUE,0.792126640250648,0.564941418866863,"kinetic_lag",12,TRUE
"TraesNOR6D03G03792480",54.8390021466352,FALSE,FALSE,0.444455712001576,0.216671082706719,"unchanged",432,TRUE
"TraesNOR6D03G03792590",-0.294528641364694,FALSE,TRUE,0.106653331607931,0.0336637007433957,"kinetics_limited",12,FALSE
"TraesNOR6D03G03793070",0.0739954347793284,FALSE,TRUE,0.895802837177702,0.745434197535683,"kinetics_limited",12,FALSE
"TraesNOR6D03G03793260",13.4982493777641,FALSE,FALSE,0.896627179789528,0.748203141886784,"unchanged",432,TRUE
"TraesNOR6D03G03793580",4.60222030600705,FALSE,TRUE,0.0990080692229171,0.0304277111175217,"concordant",432,TRUE
"TraesNOR6D03G03793610",7.48225313202131,FALSE,FALSE,0.890346100296875,0.734901218976354,"unchanged",432,TRUE
"TraesNOR6D03G03794210",0.130879695825735,FALSE,FALSE,0.914118809028749,0.788131404161915,"unchanged",12,FALSE
"TraesNOR6D03G03794400",-3.18986001612706,FALSE,FALSE,0.532567343216169,0.280904456412791,"protein_only",12,FALSE
"TraesNOR6D03G03794660",22.598544031971,FALSE,TRUE,0.335513060187033,0.14593745048647,"concordant",432,TRUE
"TraesNOR6D03G03795690",-0.263619769042703,FALSE,TRUE,0.403024045398044,0.187334795633799,"kinetics_limited",12,FALSE
"TraesNOR6D03G03795920",-5.85774944912439,FALSE,FALSE,0.00230911496997906,0.000354938587166776,"protein_only",12,FALSE
