group_id	prot_Ctrl_t0_r1	prot_Ctrl_t0_r2	prot_Ctrl_t0_r3	prot_Ctrl_t6_r1	prot_Ctrl_t6_r2	prot_Ctrl_t6_r3	prot_Ctrl_t24_r1	prot_Ctrl_t24_r2	prot_Ctrl_t24_r3	prot_Ctrl_t48_r1	prot_Ctrl_t48_r2	prot_Ctrl_t48_r3	prot_Trt_t0_r1	prot_Trt_t0_r2	prot_Trt_t0_r3	prot_Trt_t6_r1	prot_Trt_t6_r2	prot_Trt_t6_r3	prot_Trt_t24_r1	prot_Trt_t24_r2	prot_Trt_t24_r3	prot_Trt_t48_r1	prot_Trt_t48_r2	prot_Trt_t48_r3
PG00008	12.3710364185957	11.5312279296036	11.9396137904788	11.6053450293439	12.4394289471568	11.4092515082851	11.5728962913619	11.5433367879638	11.7327669174044	11.1645426393214	11.1766433008339	11.424252507758	12.4297115586131	11.5858906359674	12.5551661294434	12.46869214106	11.0673902502454	11.498876249444	11.0620028473957	11.6473043206092	12.0548002707625	11.4382654250099	11.7499444573844	11.8286477009868
PG00009	13.5119306210683	14.1814401203123	13.8368371320411	13.9238674557629	13.7462808999177	13.742182079752	14.1233110083458	13.7173072335433	13.6902252581919	13.1509260450123	13.1549929023041	13.8349299886461	13.8100396335544	13.7060548176035	13.8771855135077	13.4923019732258	13.4421620982029	13.1341009753587	14.0184266666286	14.1173108139204	13.5538517627427	13.7669574854722	13.8278790770309	13.7221174110227
PG00014	10.7371740949526	9.98846136710068	10.0717526103734	9.83046260016987	10.2751515602441	9.93953373923155	9.8720312199107	10.8408525524656	10.3538661586743	10.5628860496209	10.2990074925691	10.3224813517867	10.3772392394348	9.91456701917638	10.6724260143247	10.4211074237544	10.5278921813449	10.1938440462796	10.3655472286274	10.0751727629181	10.7140135283502	10.527562513311	10.5721924518281	10.9331393228462
PG00041	9.58830704570516	8.69875867386718	9.76311100007643	10.019100548314	10.0791259207332	9.78074183848166	9.69937905806463	9.5997752015531	10.0799234896971	9.86686045081041	9.47812269874215	9.2447539834994	9.77780924554318	9.04123800236987	9.82174946572493	10.0902416730359	9.55779869482154	10.1263692681701	9.54386855318973	9.31350279593938	9.256161344757	9.4969138222344	9.6673018094295	9.85161954942666
PG00043	12.4038880961225	12.6674836442177	11.9589101706314	12.3331810162465	12.2117019574948	12.4298844698094	11.9209335427944	12.055243839542	12.5116504694584	12.3063336711695	11.9485522500936	12.5727633937399	12.8491323758214	13.3007832240875	12.7923393775472	12.5633964792936	12.2762528037562	12.0947203413713	12.6972637503887	12.6401314575426	11.5683559682662	12.1736539869475	13.1007733530161	12.6637001876252
PG00062	8.22690139258175	9.33312917276718	8.74659002462135	8.72759678787176	8.52634497514657	8.22000229709435	8.37712518017876	9.07306836820667	8.7501892720798	8.35639683607076	8.48684446976463	8.5441255571118	8.74649537405816	8.49140350522293	8.43643764395208	8.64346184609335	8.16976722392683	8.95266435365899	7.68003283284071	8.21387491950327	7.76156961543305	8.21004126892261	8.16605446754509	8.19469801048888
PG00067	7.33482741190593	7.17656107150865	6.73308154749619	8.08213124667388	7.25083596414075	7.24090899617356	7.98499686208308	7.90054444078281	7.09228832202012	7.08438911531773	6.48237358026605	7.28482222945417	7.49964406013504	6.99960199130087	8.72898541178167	7.55492130250937	8.14075094140304	7.97394179130708	7.4077322671168	7.71009836859281	7.71083086908029	7.54725333609553	7.53466729690403	7.86120738859985
PG00081	9.6260512566805	9.16800253838891	9.38082956040242	9.36878103716015	9.53357616849733	9.95312964102744	9.18851389162031	9.20518345447778	9.72304358789836	9.44801917988265	9.70168294333936	9.36638022130826	9.24462959730865	9.67651476498364	9.18872185513455	9.86810637551511	10.0234011487412	10.5590261668521	11.1997839973337	12.1195495393581	11.3249609140794	11.5932755186604	11.9249558432622	11.5438853551257
PG00084	10.8767235353803	10.3627332589117	11.1005562052839	10.7219006562986	10.9999596493306	10.8468347348181	11.1039827839169	11.1450843236018	11.1648776270666	10.9771850307261	11.2289558780489	10.2096843747453	10.9083437900897	11.3761353107305	10.479412533523	10.2792449722372	10.9255762320797	10.7510620554676	11.1252119141069	11.3617229283971	10.7869621754791	10.7039177955639	10.9190030690075	10.3653956021172
PG00090	10.6808463808505	10.2853564045571	10.2243700353329	10.5901424048131	10.882248027791	10.4245833567102	11.072659162701	10.4590171365494	10.9466396239565	10.5868831747595	10.5665123537066	10.5869938674144	9.98277533773677	10.4253013916813	10.1461700112886	10.9652113794843	10.9975476847455	10.5630106894413	11.1775068202572	11.2143468233081	10.5959463723584	11.3760645155567	10.4297157578855	11.6878016241037
