time	pearson	spearman	ci_lo	ci_hi	tls_slope	rel_rna	rel_prot	pearson_disattenuated
0	NA	NA	NA	NA	NA	NA	NA	NA
6	0.0737087577846952	0.0743980719773496	0.014895806345456	0.13105543733116	0.0717534216144408	0.96825969639894	0.76829642122566	0.0854591875209415
24	0.415808641369695	0.379506115756182	0.364979530544836	0.463655343998248	0.463011787668186	0.972341833940759	0.860346776632937	0.454618659511139
48	0.416096233192092	0.358287310013754	0.360708694402994	0.467773038309268	0.638045801260687	0.967122484008372	0.873814971300866	0.452629966932911
