"uid","feature","block","cluster","comp","sign"
"prot__TraesCAD_scaffold_018291_01G000300","TraesCAD_scaffold_018291_01G000300","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_064155_01G000200","TraesCAD_scaffold_064155_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016400_01G000100","TraesCAD_scaffold_016400_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016407_01G000100","TraesCAD_scaffold_016407_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016407_01G000300","TraesCAD_scaffold_016407_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016408_01G000200","TraesCAD_scaffold_016408_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016422_01G000100","TraesCAD_scaffold_016422_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016446_01G000200","TraesCAD_scaffold_016446_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016471_01G000100","TraesCAD_scaffold_016471_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_016486_01G000400","TraesCAD_scaffold_016486_01G000400","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016488_01G000700","TraesCAD_scaffold_016488_01G000700","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016495_01G000800","TraesCAD_scaffold_016495_01G000800","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016511_01G000100","TraesCAD_scaffold_016511_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_063099_01G000200","TraesCAD_scaffold_063099_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016540_01G000100","TraesCAD_scaffold_016540_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_132648_01G000100","TraesCAD_scaffold_132648_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_088247_01G000100","TraesCAD_scaffold_088247_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_024844_01G000200","TraesCAD_scaffold_024844_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_016575_01G000300","TraesCAD_scaffold_016575_01G000300","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_016591_01G000200","TraesCAD_scaffold_016591_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016609_01G000100","TraesCAD_scaffold_016609_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016614_01G000300","TraesCAD_scaffold_016614_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016629_01G000100","TraesCAD_scaffold_016629_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_016629_01G000300","TraesCAD_scaffold_016629_01G000300","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_034030_01G000200","TraesCAD_scaffold_034030_01G000200","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_016691_01G000200","TraesCAD_scaffold_016691_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_067667_01G000100","TraesCAD_scaffold_067667_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016701_01G000400","TraesCAD_scaffold_016701_01G000400","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016707_01G000100","TraesCAD_scaffold_016707_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016709_01G000200","TraesCAD_scaffold_016709_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_068716_01G000100","TraesCAD_scaffold_068716_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_103256_01G000200","TraesCAD_scaffold_103256_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_041537_01G000100","TraesCAD_scaffold_041537_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_016745_01G000100","TraesCAD_scaffold_016745_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_027709_01G000100","TraesCAD_scaffold_027709_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_102762_01G000100","TraesCAD_scaffold_102762_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016796_01G000100","TraesCAD_scaffold_016796_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016797_01G000100","TraesCAD_scaffold_016797_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016816_01G000100","TraesCAD_scaffold_016816_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016822_01G000100","TraesCAD_scaffold_016822_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_016827_01G000100","TraesCAD_scaffold_016827_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016845_01G000100","TraesCAD_scaffold_016845_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016856_01G000100","TraesCAD_scaffold_016856_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_098202_01G000200","TraesCAD_scaffold_098202_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_067624_01G000200","TraesCAD_scaffold_067624_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_121433_01G000100","TraesCAD_scaffold_121433_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_016915_01G000100","TraesCAD_scaffold_016915_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_016916_01G000100","TraesCAD_scaffold_016916_01G000100","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_036125_01G000600","TraesCAD_scaffold_036125_01G000600","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016947_01G000100","TraesCAD_scaffold_016947_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016949_01G000100","TraesCAD_scaffold_016949_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_124229_01G000200","TraesCAD_scaffold_124229_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_016988_01G000200","TraesCAD_scaffold_016988_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_016992_01G000200","TraesCAD_scaffold_016992_01G000200","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_017025_01G000300","TraesCAD_scaffold_017025_01G000300","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017032_01G000100","TraesCAD_scaffold_017032_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017034_01G000200","TraesCAD_scaffold_017034_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017099_01G000100","TraesCAD_scaffold_017099_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017101_01G000100","TraesCAD_scaffold_017101_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017110_01G000100","TraesCAD_scaffold_017110_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_125904_01G000100","TraesCAD_scaffold_125904_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017147_01G000100","TraesCAD_scaffold_017147_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017163_01G000300","TraesCAD_scaffold_017163_01G000300","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017172_01G000100","TraesCAD_scaffold_017172_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_104884_01G000200","TraesCAD_scaffold_104884_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017217_01G000200","TraesCAD_scaffold_017217_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017217_01G000700","TraesCAD_scaffold_017217_01G000700","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_072618_01G000100","TraesCAD_scaffold_072618_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_118111_01G000100","TraesCAD_scaffold_118111_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017260_01G000300","TraesCAD_scaffold_017260_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017260_01G000400","TraesCAD_scaffold_017260_01G000400","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017263_01G000100","TraesCAD_scaffold_017263_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_052681_01G000100","TraesCAD_scaffold_052681_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017399_01G000100","TraesCAD_scaffold_017399_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017400_01G000300","TraesCAD_scaffold_017400_01G000300","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017405_01G000100","TraesCAD_scaffold_017405_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017488_01G000100","TraesCAD_scaffold_017488_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_075510_01G000100","TraesCAD_scaffold_075510_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_059198_01G000200","TraesCAD_scaffold_059198_01G000200","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_088614_01G000200","TraesCAD_scaffold_088614_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017534_01G000300","TraesCAD_scaffold_017534_01G000300","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_017535_01G000100","TraesCAD_scaffold_017535_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017537_01G000200","TraesCAD_scaffold_017537_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017555_01G000100","TraesCAD_scaffold_017555_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017578_01G000400","TraesCAD_scaffold_017578_01G000400","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017580_01G000100","TraesCAD_scaffold_017580_01G000100","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017602_01G000100","TraesCAD_scaffold_017602_01G000100","protein","C2+",2,"positive"
"prot__TraesCAD_scaffold_017613_01G000200","TraesCAD_scaffold_017613_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017628_01G000100","TraesCAD_scaffold_017628_01G000100","protein","C2-",2,"negative"
"prot__TraesCAD_scaffold_017639_01G000100","TraesCAD_scaffold_017639_01G000100","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_017656_01G000200","TraesCAD_scaffold_017656_01G000200","protein","C1+",1,"positive"
"prot__TraesCAD_scaffold_086537_01G000200","TraesCAD_scaffold_086537_01G000200","protein","C1-",1,"negative"
"prot__TraesCAD_scaffold_017663_01G000100","TraesCAD_scaffold_017663_01G000100","protein","C2-",2,"negative"
