"uid","feature","block","cluster","comp","sign"
"prot__TraesNOR4D03G02474900","TraesNOR4D03G02474900","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02475020","TraesNOR4D03G02475020","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02476520","TraesNOR4D03G02476520","protein","C1+",1,"positive"
"prot__TraesNOR4D03G02477170","TraesNOR4D03G02477170","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02477800","TraesNOR4D03G02477800","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02478860","TraesNOR4D03G02478860","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02480910","TraesNOR4D03G02480910","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02483250","TraesNOR4D03G02483250","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02484540","TraesNOR4D03G02484540","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02487390","TraesNOR4D03G02487390","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02488030","TraesNOR4D03G02488030","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02490260","TraesNOR4D03G02490260","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02490930","TraesNOR4D03G02490930","protein","C2-",2,"negative"
"prot__TraesNOR4D03G02492950","TraesNOR4D03G02492950","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02494560","TraesNOR4D03G02494560","protein","C2+",2,"positive"
"prot__TraesNOR4D03G02495340","TraesNOR4D03G02495340","protein","C1-",1,"negative"
"prot__TraesNOR4D03G02496470","TraesNOR4D03G02496470","protein","C1+",1,"positive"
