"uid","feature","block","cluster","comp","sign"
"prot__TraesNOR5B03G02892880","TraesNOR5B03G02892880","protein","C2-",2,"negative"
"prot__TraesNOR5B03G02894510","TraesNOR5B03G02894510","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02895140","TraesNOR5B03G02895140","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02895320","TraesNOR5B03G02895320","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02898100","TraesNOR5B03G02898100","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02899240","TraesNOR5B03G02899240","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02899360","TraesNOR5B03G02899360","protein","C2-",2,"negative"
"prot__TraesNOR5B03G02901980","TraesNOR5B03G02901980","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02902230","TraesNOR5B03G02902230","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02904270","TraesNOR5B03G02904270","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02905030","TraesNOR5B03G02905030","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02905730","TraesNOR5B03G02905730","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02907340","TraesNOR5B03G02907340","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02907660","TraesNOR5B03G02907660","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02908120","TraesNOR5B03G02908120","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02909190","TraesNOR5B03G02909190","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02909740","TraesNOR5B03G02909740","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02911110","TraesNOR5B03G02911110","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02911970","TraesNOR5B03G02911970","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02912280","TraesNOR5B03G02912280","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02915320","TraesNOR5B03G02915320","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02917990","TraesNOR5B03G02917990","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02918230","TraesNOR5B03G02918230","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02918790","TraesNOR5B03G02918790","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02920090","TraesNOR5B03G02920090","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02920580","TraesNOR5B03G02920580","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02920970","TraesNOR5B03G02920970","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02921120","TraesNOR5B03G02921120","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02921520","TraesNOR5B03G02921520","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02921600","TraesNOR5B03G02921600","protein","C2-",2,"negative"
"prot__TraesNOR5B03G02926630","TraesNOR5B03G02926630","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02928840","TraesNOR5B03G02928840","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02929520","TraesNOR5B03G02929520","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02929980","TraesNOR5B03G02929980","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02932080","TraesNOR5B03G02932080","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02932360","TraesNOR5B03G02932360","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02932540","TraesNOR5B03G02932540","protein","C2+",2,"positive"
"prot__TraesNOR5B03G02932610","TraesNOR5B03G02932610","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02933990","TraesNOR5B03G02933990","protein","C1-",1,"negative"
"prot__TraesNOR5B03G02935040","TraesNOR5B03G02935040","protein","C1+",1,"positive"
